tid,lang,score,text,label,Gender
twv14186,und,0,@mwangaza_kawira Teke teke 0713993167,Neutral,women
twv14187,und,0,@mwangaza_kawira @NdindiiNyoro Hi,Neutral,women
twv14189,en,0,@mwangaza_kawira Done...0715066987,Neutral,women
twv14191,en,-0.5,@mwangaza_kawira You are lying to us madama how can we get that lunch of yours,Insult and Hate Speech,women
twv14192,en,-0.5,"@mwangaza_kawira If you are not lying, saidia mtu moja pekee",Insult and Hate Speech,women
twv14195,en,0,@mwangaza_kawira Follow others too wacha kudandia,satire,women
twv14196,en,-0.6,@mwangaza_kawira @NdindiiNyoro But what's happening with these politician accounts everyone is tweeting this bulshit of buying lunch for the 1st 1000 followers I think these are paradoy accouts trying to capture a following <U+0001F6AE>,Insult and Hate Speech,women
twv14197,en,0,"@mwangaza_kawira @NdindiiNyoro You mean ,,the said,lunch will be through my bank account or my phone!! Ukenya nayo<U+0001F383><U+0001F92D><U+0001F601><U+0001F923>",Neutral,women
twv14198,und,0,@mwangaza_kawira @NdindiiNyoro @CheruiyotMitey,Neutral,women
twv14199,tl,0,@mwangaza_kawira Kaa na lunch yako. Wewe ni nani kwangu ndiyo unilishe?,Insult and Hate Speech,women
twv14200,en,0,@mwangaza_kawira That is Kenya we need...,Neutral,women
twv14201,und,0,@mwangaza_kawira @NdindiiNyoro <U+0001F44F>,Neutral,women
twv14202,und,0,@mwangaza_kawira @NdindiiNyoro Hi 0758822033,Neutral,women
twv14204,tl,0,"@mwangaza_kawira Waiting for my lunch Mheshimiwa
0713815903",Neutral,women
twv14206,en,-0.05,@mwangaza_kawira Yes the same energy Raila as president will use to turn around the country..Incase there will be another election .Ruto to start pay six thousand to vulnerable Kenyans as promised by Raila till baba is sworn in front the loot...,disinformation,women
twv14207,en,0,@mwangaza_kawira With Ruto loots you got juzi,Insult and Hate Speech,women
twv14211,en,-0.25,@mwangaza_kawira Parody account,Neutral,women
twv14212,en,-1.1,"@mwangaza_kawira This shows the level of hopelessness in Kenya.

Wake up go struggle sio kungonjea za bwerere",Insult and Hate Speech,women
twv14213,en,0,"@mwangaza_kawira Done,lunch 0722569719",Neutral,women
twv14214,en,0,@mwangaza_kawira Where is my lunch nyako,Neutral,women
twv14216,en,0,"@mwangaza_kawira We followed you but you never delivered lunch,eyish<U+0001F644>",Trolling,women
twv14217,en,0,@mwangaza_kawira @AbelGitonga4 Done so,Neutral,women
twv14218,en,0,@mwangaza_kawira Done,Neutral,women
twv14219,en,0,@mwangaza_kawira Whoever is running this account is selling fake news  and turninshing my governor. Promising people lunch and never delivering is conmanship.,Neutral,women
twv14220,en,-0.4,@mwangaza_kawira Stop this now. You have not bought any lunch yet you have gotten more followers. Let people organically follow you,Trolling,women
twv14221,in,0,@mwangaza_kawira Hizi lunch mbona sijawahi pata<U+0001F605>,Trolling,women
twv14223,en,0,@mwangaza_kawira Pliz follow me governor,Neutral,women
twv14224,und,0,@mwangaza_kawira https://t.co/NYe4zWiIox,Neutral,women
twv14225,en,-1,@mwangaza_kawira lies,Insult and Hate Speech,women
twv14226,en,0,@mwangaza_kawira How will I get it,Neutral,women
twv14228,en,0,@mwangaza_kawira Sure,Neutral,women
twv14230,en,-0.75,@mwangaza_kawira Hypocrisy is real,Insult and Hate Speech,women
twv14232,und,0,@mwangaza_kawira H u,Neutral,women
twv14234,in,0,@mwangaza_kawira sikupata yangu aki,Neutral,women
twv14240,en,0,@mwangaza_kawira Goodnight,Neutral,women
twv14241,en,0,@mwangaza_kawira You too Madam,Neutral,women
twv14243,in,0,@mwangaza_kawira 0796346457  usitufanyie ivyo https://t.co/7xai7EinUv,Trolling,women
twv14244,tl,0,@mwangaza_kawira Tuma lunch https://t.co/YGpKh2Pd4x,Neutral,women
twv14248,en,0,"@mwangaza_kawira Goodnight mwesh,",Neutral,women
twv14249,en,0,@mwangaza_kawira You too.,Neutral,women
twv14250,nl,0,"@mwangaza_kawira Dr. William Samoei Ruto.
0797201581",Trolling,women
twv14251,en,0,@mwangaza_kawira You too @mwangaza_kawira,Neutral,women
twv14252,en,0,@mwangaza_kawira @KositanyHon You are on it already?,Neutral,women
twv14253,en,0,"@mwangaza_kawira Here I am ,let them know the governer ni mamaa",Neutral,women
twv14254,in,0,@mwangaza_kawira Na ya wenye kuchelewa je Hon,Neutral,women
twv14255,und,0,@mwangaza_kawira 0770205390,Neutral,women
twv14256,und,0,@mwangaza_kawira Who ?,Trolling,women
twv14257,in,0,@mwangaza_kawira Mama amenena.,Neutral,women
twv14258,tl,0,@mwangaza_kawira @mwangaza_kawira isiolo hautukaribishi kwa kihapo Thursday,Neutral,women
twv14259,tl,0,@mwangaza_kawira tuma bila ya kutoa,Neutral,women
twv14260,in,0,@mwangaza_kawira Nairobi kenya,Neutral,women
twv14261,tl,0,@mwangaza_kawira Iko wapi my governor.,Neutral,women
twv14262,en,0,@mwangaza_kawira Am here,Neutral,women
twv14265,in,0,@mwangaza_kawira Tuma yangu my governor,Neutral,women
twv14268,en,0,@mwangaza_kawira Take my number (inbox),Neutral,women
twv14269,und,0,@mwangaza_kawira 0716271733,Neutral,women
twv14270,en,0,@mwangaza_kawira Mpesa my account.,Neutral,women
twv14272,en,0,@mwangaza_kawira Make sure you followed me back <U+0001F519>,Neutral,women
twv14273,en,-1.15,"@mwangaza_kawira Due to your lie, you give nothing as promised, Have unfollowed you, and stop Posting NONSENSE.",Insult and Hate Speech,women
twv14274,in,0,@mwangaza_kawira 0704837761 changamka madam,Trolling,women
twv14275,en,0,@mwangaza_kawira Here we are,Neutral,women
twv14276,und,0,@mwangaza_kawira <U+0001F44D>,Neutral,women
twv14277,en,0,@mwangaza_kawira Done... Whatsapp 0797081651,Neutral,women
twv14279,und,0,@mwangaza_kawira <U+0001F618><U+0001F618><U+0001F618><U+0001F618>,Neutral,women
twv14280,in,0,@mwangaza_kawira Done our iron lady Kiongozi shupavu ..weka hii number 0705541970,positive,women
twv14281,und,0,@mwangaza_kawira Waaa,Neutral,women
twv14282,en,0,@mwangaza_kawira Really,Neutral,women
twv14283,en,0,@mwangaza_kawira Really,Neutral,women
twv14285,en,0,@mwangaza_kawira Umeongea mhesh,Neutral,women
twv14286,tl,0,@mwangaza_kawira Mama Mwangaza..0741937316,Neutral,women
twv14288,und,0,@mwangaza_kawira 0702999676,Neutral,women
twv14290,en,0,@mwangaza_kawira Waiting,Neutral,women
twv14291,en,0,@mwangaza_kawira Heyy can I have your number<U+0001F622><U+0001F602>,Neutral,women
twv14292,en,-0.25,@mwangaza_kawira Today am not late 0716663818,Neutral,women
twv14293,tl,-0.25,@mwangaza_kawira Am I late ata kama<U+0001F622><U+0001F97A><U+0001F602>,Neutral,women
twv14294,en,0,@mwangaza_kawira Am here,Neutral,women
twv14296,et,0,@mwangaza_kawira Wasema polepole,Trolling,women
twv14298,en,0,@mwangaza_kawira I don't need supper I need your prayers,Trolling,women
twv14300,en,0,@mwangaza_kawira Following 0723140765 https://t.co/sWpphqKErT,Neutral,women
twv14301,und,0,@mwangaza_kawira https://t.co/p1ON169pZv,Neutral,women
twv14302,en,-0.75,"@mwangaza_kawira Where did y'all get this nonsense of buying people sapper, shenzi sana.",Insult and Hate Speech,women
twv14304,und,0,@mwangaza_kawira @GabrielWamalw18,Neutral,women
twv14305,und,0,@mwangaza_kawira 0724955325,Neutral,women
twv14307,en,0,@mwangaza_kawira Following,Neutral,women
twv14308,en,0,@mwangaza_kawira William Ruto,Trolling,women
twv14310,in,0,@mwangaza_kawira Juu wewe unaongea na una pesa na akili tugawanyie hio chakula unasema,Insult and Hate Speech,women
twv14312,in,0,@mwangaza_kawira Madam unakula unashiba ndio maana ubatusumbua ati followers hapa,Insult and Hate Speech,women
twv14313,in,0,@mwangaza_kawira Watu wanasaka  riziki,Trolling,women
twv14315,en,0,@mwangaza_kawira Already 0727720102 https://t.co/p5kfYb29Wd,Neutral,women
twv14317,en,0,"@mwangaza_kawira 0719499932, waiting",Neutral,women
twv14318,und,0,@mwangaza_kawira Yeeey,Neutral,women
twv14320,et,0,@mwangaza_kawira Kakamega,Neutral,women
twv14323,en,0,@mwangaza_kawira Sure Hon. Mom,Neutral,women
twv14324,sv,0,@mwangaza_kawira 0110565003 lunch bas ikam my Gav,Neutral,women
twv14325,und,0,@mwangaza_kawira 0110565003,Neutral,women
twv14326,en,-0.4,"@mwangaza_kawira After this post, you are headed to insult your opponents. You are taking God so casual. I have seen your post insulting Azimio, l think you will do politics of love to prove to the society about your love to God. Anyway Karma is coming",disinformation,women
twv14327,en,0,"@mwangaza_kawira A must, governor ni mama movement to the end",Neutral,women
twv14328,en,0,@mwangaza_kawira God Destined Ruto,Neutral,women
twv14329,in,0,@mwangaza_kawira Meru makutano,Neutral,women
twv14330,und,0,@mwangaza_kawira 0721460494,Neutral,women
twv14333,in,0,@mwangaza_kawira Mamake tuma kitu,Neutral,women
twv14334,und,0,@mwangaza_kawira 0768579620,Neutral,women
twv14336,und,0,@mwangaza_kawira 0757936421,Neutral,women
twv14337,in,0,@mwangaza_kawira Umbwa,Insult and Hate Speech,women
twv14338,en,0,@mwangaza_kawira Really,Trolling,women
twv14340,en,0,@mwangaza_kawira Am here.,Neutral,women
twv14341,en,0,@mwangaza_kawira Sure,Neutral,women
twv14342,en,0,@mwangaza_kawira Waiting,Neutral,women
twv14343,en,-0.6,@mwangaza_kawira This doesn't know the taste of hunger,Trolling,women
twv14344,und,0,@mwangaza_kawira 0714466091,Neutral,women
twv14345,in,0,@mwangaza_kawira Mheshimiwa weka sapa 0720055510. Hongera Dana @mwangaza_kawira,Neutral,women
twv14350,en,-0.25,@mwangaza_kawira Silly !    Your boss are the Merû people who gave you the job thru their votes.     Ruto is your co-worker.     Your headquarters is Meru.     Your job is Meru.    Shape up.,Neutral,women
twv14351,en,-0.25,@mwangaza_kawira What glory !    Nyayo torture chambers and Nyati House ?,Neutral,women
twv14352,en,-0.4,"@mwangaza_kawira @NdindiiNyoro Think about Meru.    Nairobi is not your job.    If you are  a wife to a respectable man,  please stop attacking men politicians.     You may soon regret very painfully.",Trolling,women
twv14353,und,0,@mwangaza_kawira @ngunjiriwambug @jmoz09649714,Neutral,women
twv14354,en,0,@mwangaza_kawira GET A LIFE NIGGA!!!!!!,Insult and Hate Speech,women
twv14355,it,0,@mwangaza_kawira Uongouongo,Trolling,women
twv14357,en,0,@mwangaza_kawira To Kenyan President some day u knu,Neutral,women
twv14359,en,0,@mwangaza_kawira Sure,Neutral,women
twv14362,und,0,@mwangaza_kawira 0795404703,Neutral,women
twv14363,en,0,@mwangaza_kawira Jovious,Neutral,women
twv14364,en,0,@mwangaza_kawira I did but you didnt,Trolling,women
twv14365,in,0,@mwangaza_kawira @PilgrimEagle Barikiwa Sana Mama yetu,positive,women
twv14366,tl,0,@mwangaza_kawira Bishop ni mama! gavana ni mama. Hakuna upendo unaoshinda wa Mama....,Neutral,women
twv14367,tl,0,@mwangaza_kawira Kwani hiyo supper inakuja na reverse? 0790131994,Trolling,women
twv14371,en,0,@mwangaza_kawira Ruto the fifth <U+0001F4AA><U+0001F4AA><U+0001F4AA> 0792814935,Neutral,women
twv14373,und,0,@mwangaza_kawira 0740330100,Neutral,women
twv14374,en,0,@mwangaza_kawira Just waiting,Neutral,women
twv14375,und,0,@mwangaza_kawira 0740330100,Neutral,women
twv14376,fi,0,@mwangaza_kawira Mimi bado nangoja ile lunch ulipromise.,Neutral,women
twv14379,tl,0,"@mwangaza_kawira But ww madam mbona uongo mingi ebu tuma kitu tafadhali mweshimiwa,0705533957",Trolling,women
twv14380,en,-1.3,@mwangaza_kawira Dont compare bunch of looters to Mandela....go history ...Mandela never had cases of integrity in every corner of SA...<U+0001F923><U+0001F923><U+0001F923><U+0001F923> the worst await us all,Insult and Hate Speech,women
twv14381,en,-0.35,"@mwangaza_kawira How soon have you lost the way to the extend of turnong to Ruto blogger not the Meru governor, I have not seen any of the elected KK leaders talk such nonsense even though they are Ruto sychophant....Your action warries the Meru people wh",Insult and Hate Speech,women
twv14382,en,0,@mwangaza_kawira Waiting my lunch,Neutral,women
twv14383,und,0,@mwangaza_kawira 0715538390,Neutral,women
twv14384,und,-0.5,"@mwangaza_kawira Umeanza na uongo jana you lied ,hivi ndivyo utacheza watu meru",Insult and Hate Speech,women
twv14385,en,0,@mwangaza_kawira Waiting too,Neutral,women
twv14392,und,0,@mwangaza_kawira Ok,Neutral,women
twv14393,und,0,@mwangaza_kawira 0792221985,Neutral,women
twv14394,tl,0,@mwangaza_kawira Hapo kweli,Neutral,women
twv14395,in,0,@mwangaza_kawira Tunataka kazi ndio tujinunulie sapa kila siku.,Trolling,women
twv14396,tl,0,@mwangaza_kawira Nitumie 3k nilipe rent kwanza.,Neutral,women
twv14397,et,0,@mwangaza_kawira @mwangaza0748256674 ikuje mamaa,Neutral,women
twv14399,en,0,@mwangaza_kawira Yesterday you didn't send 0706437279,Trolling,women
twv14400,en,0,"@mwangaza_kawira But, you didn't buy me and I was among 100.",Trolling,women
twv14403,tl,0,@mwangaza_kawira Ndio hiyo mama0701628609,Neutral,women
twv14405,en,-0.5,@mwangaza_kawira Hard Tackle,satire,women
twv14406,en,-0.75,@mwangaza_kawira Fake account,Neutral,women
twv14407,en,0,@mwangaza_kawira Madam GOVERNOR,Neutral,women
twv14408,lt,0,@mwangaza_kawira Pamoja,positive,women
twv14409,und,0,@mwangaza_kawira 0723112548,Neutral,women
twv14411,und,0,@mwangaza_kawira 0723112548,Neutral,women
twv14412,et,0,"@mwangaza_kawira From Mbeti, Mitunguu, gavana ni mama",Neutral,women
twv14413,tl,0,@mwangaza_kawira Uongoooo,Trolling,women
twv14414,tl,0,@mwangaza_kawira Hapo ni sawa sawa,Neutral,women
twv14415,und,0,@mwangaza_kawira 0729241644,Neutral,women
twv14416,fi,0,@mwangaza_kawira Wacha kutuzoea vibaya! Eish.,Trolling,women
twv14417,tl,0,@mwangaza_kawira @NdindiiNyoro Tuma kwa 0712223872.,Neutral,women
twv14418,tr,0,@mwangaza_kawira 0722551281 ...... twende kazi,Neutral,women
twv14419,cy,0,@mwangaza_kawira hio lunch ikam mhesh,Neutral,women
twv14420,en,0,@mwangaza_kawira follow,Neutral,women
twv14421,und,0,@mwangaza_kawira <U+0001F923><U+0001F923><U+0001F923><U+0001F923><U+0001F923><U+0001F923><U+0001F923><U+0001F44F><U+0001F44F><U+0001F44F><U+0001F44F>,Neutral,women
twv14422,in,0,@mwangaza_kawira Morning too madam governor..sijapata lunch yangu,Neutral,women
twv14424,et,0,"@mwangaza_kawira Tuma kitu ni nunue supper
0782544079",Neutral,women
twv14426,tl,0,@mwangaza_kawira Tuna lunch @mwangaza_kawira,Neutral,women
twv14428,en,-0.5,@mwangaza_kawira Scam,Trolling,women
twv14429,en,0,@mwangaza_kawira @NdindiiNyoro You people think you believe in the bible so much but Politics and the word of God....... Where does it come across the bible,Trolling,women
twv14430,en,-3.75,"@mwangaza_kawira @NdindiiNyoro Titus 3:9
But avoid foolish controversies, genealogies, dissensions, and quarrels about the law, for they are unprofitable and worthless.",Insult and Hate Speech,women
twv14431,in,0,@mwangaza_kawira Mko na ujinga,Insult and Hate Speech,women
twv14434,und,0,@mwangaza_kawira 0799069380,Neutral,women
twv14435,und,0,@mwangaza_kawira 0799069380,Neutral,women
twv14438,en,0,@mwangaza_kawira Absolutely,Neutral,women
twv14440,und,0,@mwangaza_kawira 0110179976,Neutral,women
twv14441,en,-0.5,@mwangaza_kawira Due to your continuous lie have unfollowed you,Insult and Hate Speech,women
twv14442,et,0,@mwangaza_kawira H.E hiyo lunch ikuje sasa,Neutral,women
twv14443,en,0,@mwangaza_kawira Waiting too <U+263A><U+FE0F>,Neutral,women
twv14444,en,0,@mwangaza_kawira waiting...,Neutral,women
twv14445,in,0,@mwangaza_kawira Turkana county,Neutral,women
twv14446,en,0,@mwangaza_kawira Madam Gvn you did not send me that lunch 0718095697,Trolling,women
twv14447,hi,0,@mwangaza_kawira 0720777785 sambaza Muheshimiwa,Neutral,women
twv14448,in,0,@mwangaza_kawira 0720777785 sambaza,Neutral,women
twv14449,in,0,@mwangaza_kawira Baada ya kutudanganya jana,Insult and Hate Speech,women
twv14450,en,0,@mwangaza_kawira Make sure you serve your pple deligently,Neutral,women
twv14451,und,0,@mwangaza_kawira 0724516142,Neutral,women
twv14452,und,0,@mwangaza_kawira 0710837102,Neutral,women
twv14453,und,0,@mwangaza_kawira 0705537529,Neutral,women
twv14455,en,0,@mwangaza_kawira Yeah which Number? 0722578133,Neutral,women
twv14456,und,0,@mwangaza_kawira 0792176960,Neutral,women
twv14457,tl,-0.5,"@mwangaza_kawira Hello mhesh Kawira Mwangaza, tafadhali anza na mimi hustler apa
0792176960",Neutral,women
twv14458,und,0,@mwangaza_kawira 0111317852,Neutral,women
twv14459,it,0,@mwangaza_kawira Done kiongozi 0111317852,Neutral,women
twv14460,tl,0,@mwangaza_kawira Ulinichocha sasa na. Unfollow tu,Trolling,women
twv14461,und,-0.5,@mwangaza_kawira Lie,Trolling,women
twv14462,in,0,@mwangaza_kawira Meru,Neutral,women
twv14463,en,0,"@mwangaza_kawira Replying to @mwangaza_kawira 
0701243466",Neutral,women
twv14464,en,0,"@mwangaza_kawira Replying to @mwangaza_kawira 
0701243466",Neutral,women
twv14466,lv,0,@mwangaza_kawira Nairobi,Neutral,women
twv14470,in,0,@mwangaza_kawira Kawira wil change meru county,Neutral,women
twv14471,und,0,@mwangaza_kawira 0113636961,Neutral,women
twv14474,in,0,@mwangaza_kawira Chezeni Kama nyinyi,Neutral,women
twv14475,en,0,@mwangaza_kawira Me too,Neutral,women
twv14478,und,0,@mwangaza_kawira @jose70828689,Neutral,women
twv14479,eu,0,@mwangaza_kawira Tuko,Neutral,women
twv14480,en,-0.75,@mwangaza_kawira Fake account lol,Neutral,women
twv14481,en,0,@mwangaza_kawira Sawa Governor,m,women
twv14482,tl,-0.75,"@mwangaza_kawira @mwangaza_kawira Mweshimiwa,na umeanza corruption mapema hivi tena?",Insult and Hate Speech,women
twv14484,en,-0.65,@mwangaza_kawira Stop the nonsense mama<U+0001F6AE>... followers aren't achievement. Nikona wengine kukuliko yet a mare campus student while you're Meru governor. Wait to be shown in utufanyie kazi if you'll,Insult and Hate Speech,women
twv14485,en,0,@mwangaza_kawira Sure,Neutral,women
twv14486,und,0,@mwangaza_kawira 0757901186,Neutral,women
twv14491,en,0,@mwangaza_kawira How is Ruto's presidency a Madela moment?,Trolling,women
twv14492,en,-0.5,"@mwangaza_kawira Mandera not Madera. At the same time, don't misuse the word",Trolling,women
twv14496,en,0,@mwangaza_kawira @JaphetKapterit Where is my lunch madam,Neutral,women
twv14497,en,0,@mwangaza_kawira Congrat,positive,women
twv14498,en,0,@mwangaza_kawira Am here.mum do it,Neutral,women
twv14502,en,0,@mwangaza_kawira Im following,Neutral,women
twv14503,en,-0.75,@mwangaza_kawira Fake accounts,Neutral,women
twv14504,en,-1.5,@mwangaza_kawira Bishop working together with election fraudsters... What a waste,Insult and Hate Speech,women
twv14505,et,0,@mwangaza_kawira Nitakuja mum,Neutral,women
twv14506,en,-0.75,@mwangaza_kawira Meru county governor vile vile <U+0001F602>,Neutral,women
twv14509,und,0,@mwangaza_kawira 0704273666,Neutral,women
twv14510,und,0,@mwangaza_kawira Ikuje nko hapa,Neutral,women
twv14511,en,0,@mwangaza_kawira Be independent,Trolling,women
twv14512,ro,0,"@mwangaza_kawira Ayia mwangaza ameangazia mpesa angu ,,what a suprise",satire,women
twv14513,tl,0,@mwangaza_kawira Niko hapa leta hiyo lunch,Neutral,women
twv14514,in,0,@mwangaza_kawira Umeona watu wako njaa...nunulia madam murega baichu,Neutral,women
twv14515,es,0,@mwangaza_kawira Asante,Neutral,women
twv14516,tl,0,@mwangaza_kawira Wapi lunch?,Neutral,women
twv14520,en,0,@mwangaza_kawira Here 0745808997,Neutral,women
twv14521,en,0,@mwangaza_kawira Is she still buying?,Trolling,women
twv14523,in,0,@mwangaza_kawira @NdindiiNyoro iko wapiii? ndo hii masaa,Neutral,women
twv14524,in,0,@mwangaza_kawira @NdindiiNyoro iko wapi... ndo hii masaa,Neutral,women
twv14527,und,0,@mwangaza_kawira 0792038761,Neutral,women
twv14529,en,0,@mwangaza_kawira Denis Samwel 0115957733,Neutral,women
twv14530,en,0,@mwangaza_kawira Waiting <U+270B>,Neutral,women
twv14533,und,0,@mwangaza_kawira <U+0001F92D><U+0001F92D><U+0001F92D><U+0001F92D>,Neutral,women
twv14534,und,0,@mwangaza_kawira 0703641001,Neutral,women
twv14535,in,0,@mwangaza_kawira Hii ujinga nia facebook,Insult and Hate Speech,women
twv14537,en,0,@mwangaza_kawira Morning Madam governor,Neutral,women
twv14538,en,-0.8,@mwangaza_kawira Pliiz have an independent mind in your leadership or else your peaple will disown you come 2027.,Trolling,women
twv14539,en,-1.5,@mwangaza_kawira Fake account I can't believe so many of you believe this shit,Insult and Hate Speech,women
twv14540,tl,0,@mwangaza_kawira Iko wapi hio lunch.?,Neutral,women
twv14541,in,0,@mwangaza_kawira Yangu,Neutral,women
twv14542,tl,0,@mwangaza_kawira Wacha uongo bishop,Insult and Hate Speech,women
twv14544,tl,0,@mwangaza_kawira Mheshimiwa waku shift sides<U+0001F602><U+0001F602><U+0001F602><U+0001F602>,Trolling,women
twv14545,tl,0,@mwangaza_kawira Iko wapi lunch governor?,Neutral,women
twv14546,und,0,@mwangaza_kawira 0112307736,Neutral,women
twv14547,und,0,@mwangaza_kawira Me,Neutral,women
twv14549,en,0,@mwangaza_kawira Waiting,Neutral,women
twv14550,en,0,@mwangaza_kawira I can't be left behind ata mimi niekee kwa 0720016768<U+0001F603>,Neutral,women
twv14551,und,0,@mwangaza_kawira 0793804921,Neutral,women
twv14554,und,0,@mwangaza_kawira <U+0001F923><U+0001F4AF>,Neutral,women
twv14555,en,-0.5,"@mwangaza_kawira That my take mhesh.
Kalinzo shud not step any near kenyakwanza. Let him stay in opposition",Neutral,women
twv14556,en,-0.5,"@mwangaza_kawira That my take mhesh.
Kalinzo shud not step any near kenyakwanza. Let him stay in opposition",Trolling,women
twv14557,en,-0.25,"@mwangaza_kawira 0724718562, sleeping hungry",Neutral,women
twv14558,en,0,@mwangaza_kawira Madam governor didn't receive my lunch,Trolling,women
twv14559,en,0,"@mwangaza_kawira I didn't receive my lunch 0724718562, madam governor",Trolling,women
twv14560,et,0,@mwangaza_kawira Mine 0757111380,Neutral,women
twv14561,en,0,@mwangaza_kawira Hello,Neutral,women
twv14563,en,0,@mwangaza_kawira You serious <U+0001F602>,Neutral,women
twv14564,in,0,@mwangaza_kawira Nunua lunch Sahi nishaa follow,Neutral,women
twv14565,en,0,@mwangaza_kawira 0727938112 done<U+0001F932>,Neutral,women
twv14566,in,0,@mwangaza_kawira @mwangaza_kawira 0758174270 changamka,Neutral,women
twv14568,und,0,@mwangaza_kawira O742203678,Neutral,women
twv14569,tl,0,@mwangaza_kawira Governor ni mama,Neutral,women
twv14570,en,0,@mwangaza_kawira Count me,Neutral,women
twv14573,et,0,@mwangaza_kawira Mine 0768365204,Neutral,women
twv14574,en,0,@mwangaza_kawira 0742057331 already,Neutral,women
twv14575,en,0,@mwangaza_kawira next tyme kenya kwanza followers direct such to them ndio wanapenda lunch,Trolling,women
twv14577,eu,0,@mwangaza_kawira Uligaragaza mapape,Neutral,women
twv14578,en,0,@mwangaza_kawira Am here 0726689014,Neutral,women
twv14579,en,0,@mwangaza_kawira Buy now 0708188369,Neutral,women
twv14583,und,0,@mwangaza_kawira <U+0001F602><U+0001F602><U+0001F602><U+0001F979>,Neutral,women
twv14584,tl,0,@mwangaza_kawira Waiting mhesimiwa,Neutral,women
twv14585,tl,0,@mwangaza_kawira 0706755222... By me lunch Hon Kawira <U+263A><U+FE0F>,Neutral,women
twv14588,en,0,@mwangaza_kawira First follow me,Trolling,women
twv14589,en,0,@mwangaza_kawira Morning to you madam Governor,Neutral,women
twv14591,en,0,@mwangaza_kawira Can't we just follow without being bribed?,Insult and Hate Speech,women
twv14592,und,0,@mwangaza_kawira 0794196420,Neutral,women
twv14593,en,-1,@mwangaza_kawira Lies,Trolling,women
twv14595,pt,0,@mwangaza_kawira 0719175315 tuma pesa.,Neutral,women
twv14597,und,0,@mwangaza_kawira @iam_amoschumba,Neutral,women
twv14598,in,0,@mwangaza_kawira Moses kuria asha sema ana nunua<U+0001F602><U+0001F602><U+0001F602><U+0001F602><U+0001F602>,Trolling,women
twv14599,und,0,@mwangaza_kawira <U+0001F602><U+0001F602><U+0001F602>,Neutral,women
twv14600,in,0,@mwangaza_kawira Tunashukuru Kwa moyo wako mkunjufu,positive,women
twv14601,en,0,@mwangaza_kawira I am here 0725956662,Neutral,women
twv14602,und,0,@mwangaza_kawira 0799459746,Neutral,women
twv14603,eu,0,@mwangaza_kawira Niko hapa,Neutral,women
twv14605,en,0,@mwangaza_kawira You  too.... my boss,Neutral,women
twv14607,en,0,@mwangaza_kawira Count me,Neutral,women
twv14608,en,0,@mwangaza_kawira Morng  to you madam,Neutral,women
twv14611,pl,0,@mwangaza_kawira Uko na watu,Neutral,women
twv14612,in,-0.25,@mwangaza_kawira Ukianza hizo najua ni parody account,Neutral,women
twv14613,und,0,@mwangaza_kawira 0111509942,Neutral,women
twv14616,cy,0,@mwangaza_kawira Here iam mheshimiwa,Neutral,women
twv14618,en,0,@mwangaza_kawira Am the first from too,Neutral,women
twv14619,en,0,@mwangaza_kawira I'm in 07 08 09 82 83,Neutral,women
twv14622,en,0,@mwangaza_kawira First follow me @DDominicmunene2,Trolling,women
twv14623,und,0,@mwangaza_kawira 0748406351,Neutral,women
twv14626,pl,0,@mwangaza_kawira Nikupee no.,Neutral,women
twv14627,en,0,@mwangaza_kawira Tumeshiba now you want to give underouts,Trolling,women
twv14629,und,0,@mwangaza_kawira 0769361954,Neutral,women
twv14630,en,0,@mwangaza_kawira We don’t want him too ! Akae nahuko kuzimia,Trolling,women
twv14631,en,-0.25,@mwangaza_kawira I am late but it's never late for lunch,Neutral,women
twv14633,in,0,@mwangaza_kawira Tutashukuru,Neutral,women
twv14634,en,0,@mwangaza_kawira My governor.,Neutral,women
twv14635,en,0,@mwangaza_kawira Mungu hapendi mtumishi muongo.after winning now you're mocking God.we shall see......,Insult and Hate Speech,women
twv14638,ht,0,@mwangaza_kawira Kiongozi mwenyewe. Kudos,positive,women
twv14639,und,0,@mwangaza_kawira @Daddiusk2,Neutral,women
twv14641,und,0,@mwangaza_kawira 0792663270,Neutral,women
twv14642,und,0,@mwangaza_kawira Fec,Trolling,women
twv14643,en,0,@mwangaza_kawira Am here,Neutral,women
twv14645,et,0,@mwangaza_kawira Aaii hatutapumua juu ulishinda kiraitu,Insult and Hate Speech,women
twv14647,en,0,@mwangaza_kawira You cant enties me with so call lunch so as to  follow you,Trolling,women
twv14648,und,0,@mwangaza_kawira too,Neutral,women
twv14649,en,0,@mwangaza_kawira I've never had your lunch mama <U+0001F625><U+0001F625><U+0001F625>,Neutral,women
twv14650,tl,0,@mwangaza_kawira Kweli?,Neutral,women
twv14651,pl,0,@mwangaza_kawira uko na msichana naweza oa,Trolling,women
twv14652,en,0,@mwangaza_kawira Congralation my Governor meru county,Neutral,women
twv14654,in,0,@mwangaza_kawira Sawa ndo huyu Mimi.. 0702665788..weka kitu hapo,Neutral,women
twv14655,en,0,@mwangaza_kawira Who told you hatuna lunch ?  Lakini politicians,Trolling,women
twv14656,und,0,@mwangaza_kawira My 2000,Trolling,women
twv14658,en,-0.4,@mwangaza_kawira Stop forcing issues madam,Insult and Hate Speech,women
twv14659,en,0,@mwangaza_kawira Hello.. 0712314348 is my number,Neutral,women
twv14660,en,0,@mwangaza_kawira Hello,Neutral,women
